14:31:59:851|10524 |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
11:07:45:545|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:08:15:257|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:09:00:888|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:09:17:176|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:09:35:379|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:09:51:721|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:09:56:42 |FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:10:16:325|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:11:24:52 |FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:13:11:574|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:13:11:604|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:16:03:872|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
11:16:03:889|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
